date,sales,cups,avg_spend,temperature,cloud_cover,sunny
6/19/15,3621.8,398,9.1,70,5,sunny
6/20/15,1350.36,279,4.84,68,7,cloudy
6/21/15,1987.7,278,7.15,70,5,sunny
6/22/15,1661.99,319,5.21,71,5,sunny
6/23/15,2096.11,263,7.97,73,3,sunny
6/24/15,2351.45,359,6.55,71,4,sunny
6/25/15,984,328,3,71,5,sunny
6/26/15,1185.8,245,4.84,72,6,cloudy
6/27/15,2454.43,421,5.83,72,6,cloudy
6/28/15,1612.94,281,5.74,74,6,cloudy
6/29/15,1543.81,263,5.87,74,6,cloudy
6/30/15,1196.91,279,4.29,73,5,sunny
7/1/15,2346.17,373,6.29,75,6,cloudy
7/2/15,2713.6,424,6.4,73,5,sunny
7/3/15,2495.04,368,6.78,72,6,cloudy
7/4/15,2120.54,458,4.63,71,7,cloudy
7/5/15,1241.2,290,4.28,69,7,cloudy
7/6/15,2369.85,427,5.55,69,8,cloudy
7/7/15,1717.04,338,5.08,68,7,cloudy
7/8/15,1456.4,331,4.4,70,7,cloudy
7/9/15,1689.88,332,5.09,70,5,sunny
7/10/15,2222.64,392,5.67,71,4,sunny
7/11/15,1669.72,338,4.94,70,5,sunny
7/12/15,2924,344,8.5,71,5,sunny
7/13/15,3372.36,471,7.16,72,3,sunny
7/14/15,2901.6,465,6.24,70,6,cloudy
7/15/15,2804.97,361,7.77,71,5,sunny
7/16/15,3857.7,385,10.02,71,4,sunny
7/17/15,2070.8,334,6.2,72,5,sunny
7/18/15,1878.78,362,5.19,71,6,cloudy
7/19/15,3238.3,470,6.89,81,6,cloudy
7/20/15,1926.34,403,4.78,74,6,cloudy
7/21/15,1924.48,388,4.96,75,7,cloudy
7/22/15,1872.2,370,5.06,76,6,cloudy
7/23/15,3425.76,432,7.93,75,5,sunny
7/24/15,2982.9,326,9.15,76,4,sunny
7/25/15,1649,388,4.25,76,3,sunny
7/26/15,2489.4,461,5.4,74,4,sunny
7/27/15,2057.7,361,5.7,72,3,sunny
7/28/15,795,265,3,72,4,sunny
7/29/15,1609.89,309,5.21,74,6,cloudy
7/30/15,3403.66,494,6.89,76,6,cloudy
7/31/15,2923.95,505,5.79,75,7,cloudy
8/1/15,1554.85,257,6.05,74,7,cloudy
8/2/15,2642.28,388,6.81,74,6,cloudy
8/3/15,1342.66,359,3.74,74,5,sunny
8/4/15,3504.16,362,9.68,76,2,sunny
8/5/15,2631.75,435,6.05,77,2,sunny
8/6/15,2020.02,393,5.14,75,6,cloudy
8/7/15,2136.16,338,6.32,74,6,cloudy
8/8/15,1733.1,327,5.3,72,3,sunny
8/9/15,1224,340,3.6,71,5,sunny
8/10/15,1978.02,333,5.94,72,5,sunny
8/11/15,1898.73,289,6.57,73,5,sunny
8/12/15,2988,415,7.2,70,3,sunny
8/13/15,2634.76,331,7.96,77,2,sunny
8/14/15,2107.24,379,5.56,79,3,sunny
8/15/15,3186.96,392,8.13,79,2,sunny
8/16/15,2102.82,347,6.06,79,3,sunny
8/17/15,1094.4,320,3.42,75,6,cloudy
8/18/15,2790.72,456,6.12,76,5,sunny
8/19/15,2493.68,427,5.84,75,4,sunny
8/20/15,2316.1,437,5.3,73,6,cloudy
8/21/15,2404.86,447,5.38,75,5,sunny
8/22/15,1030.25,325,3.17,74,4,sunny
8/23/15,3177.5,410,7.75,75,6,cloudy
8/24/15,2133,300,7.11,75,5,sunny
8/25/15,2495.27,437,5.71,75,7,cloudy
8/26/15,3905,500,7.81,79,4,sunny
8/27/15,3993.99,429,9.31,81,2,sunny
8/28/15,3450.16,404,8.54,82,1,sunny
8/29/15,2049.2,436,4.7,81,1,sunny
8/30/15,5064,422,12,77,2,sunny
8/31/15,957,319,3,73,5,sunny
9/1/15,1705,341,5,74,7,cloudy
9/2/15,1410.5,310,4.55,73,6,cloudy
9/3/15,4068,339,12,73,4,sunny
9/4/15,1342,275,4.88,74,5,sunny
9/5/15,861,287,3,73,4,sunny
9/6/15,1420.02,343,4.14,75,3,sunny
9/7/15,4176,348,12,79,2,sunny
9/8/15,2647.71,403,6.57,82,3,sunny
9/9/15,2539.98,411,6.18,86,5,sunny
9/10/15,2462.4,380,6.48,87,6,cloudy
9/11/15,2297.16,324,7.09,83,6,cloudy
9/12/15,3378.75,375,9.01,83,5,sunny
9/13/15,1889.76,248,7.62,80,1,sunny
9/14/15,873.6,280,3.12,79,4,sunny
9/15/15,1689.61,317,5.33,74,8,cloudy
9/16/15,1017.75,177,5.75,73,5,sunny
9/17/15,1905.76,344,5.54,74,3,sunny
9/18/15,1788,298,6,74,1,sunny
9/19/15,1957.78,242,8.09,75,1,sunny
9/20/15,1344.6,324,4.15,73,2,sunny
9/21/15,1896.56,302,6.28,77,6,cloudy
9/22/15,2427.49,263,9.23,78,4,sunny
9/23/15,2439.83,269,9.07,76,2,sunny
9/24/15,2612.12,266,9.82,78,2,sunny
9/25/15,2408.39,457,5.27,79,2,sunny
9/26/15,1816.99,257,7.07,78,3,sunny
9/27/15,2005.32,204,9.83,78,5,sunny
9/28/15,3108.75,375,8.29,77,4,sunny
9/29/15,2730,364,7.5,75,1,sunny
9/30/15,3293.44,332,9.92,75,3,sunny
10/1/15,2330.46,363,6.42,75,4,sunny
10/2/15,2696.09,359,7.51,74,3,sunny
10/3/15,1357.56,324,4.19,72,3,sunny
10/4/15,1211.04,261,4.64,71,6,cloudy
10/5/15,1085.7,282,3.85,67,6,cloudy
10/6/15,1925.16,244,7.89,70,2,sunny
10/7/15,804,268,3,73,2,sunny
10/8/15,2221.38,246,9.03,75,3,sunny
10/9/15,2098.76,284,7.39,82,2,sunny
10/10/15,4483.65,421,10.65,87,1,sunny
10/11/15,2821.45,365,7.73,84,3,sunny
10/12/15,2318.22,318,7.29,85,5,sunny
10/13/15,3168.34,371,8.54,81,3,sunny
10/14/15,1368.31,293,4.67,78,6,cloudy
10/15/15,1352.5,250,5.41,76,6,cloudy
10/16/15,1066.77,243,4.39,72,8,cloudy
10/17/15,1323.4,260,5.09,74,7,cloudy
10/18/15,1581.67,277,5.71,74,7,cloudy
10/19/15,1707.52,256,6.67,71,6,cloudy
10/20/15,2040.45,305,6.69,71,5,sunny
10/21/15,2035,275,7.4,72,3,sunny
10/22/15,945,250,3.78,72,3,sunny
10/23/15,1737.45,297,5.85,72,3,sunny
10/24/15,1687.32,258,6.54,75,3,sunny
10/25/15,2842,280,10.15,73,5,sunny
10/26/15,2820.77,311,9.07,72,3,sunny
10/27/15,916.11,261,3.51,73,4,sunny
10/28/15,1631.73,327,4.99,72,6,cloudy
10/29/15,1261.75,245,5.15,73,3,sunny
10/30/15,1346.12,292,4.61,72,0,sunny
10/31/15,1414.32,249,5.68,74,0,sunny
11/1/15,1685.89,211,7.99,73,2,sunny
11/2/15,1773.78,222,7.99,68,5,sunny
11/3/15,825,275,3,66,6,cloudy
11/4/15,1406.3,205,6.86,63,5,sunny
11/5/15,582,194,3,63,1,sunny
11/6/15,2011.44,289,6.96,64,0,sunny
11/7/15,2235.39,277,8.07,66,1,sunny
11/8/15,1082.56,272,3.98,64,1,sunny
11/9/15,1233.24,258,4.78,64,5,sunny
11/10/15,1405.92,232,6.06,63,4,sunny
11/11/15,1080.7,202,5.35,64,0,sunny
11/12/15,1623.8,230,7.06,62,3,sunny
11/13/15,522.06,154,3.39,64,0,sunny
11/14/15,873.81,219,3.99,64,2,sunny
11/15/15,1147.07,251,4.57,65,5,sunny
11/16/15,1532.01,223,6.87,61,3,sunny
11/17/15,546,182,3,59,1,sunny
11/18/15,1061.28,132,8.04,63,1,sunny
11/19/15,1663.7,262,6.35,67,0,sunny
11/20/15,1824.54,282,6.47,66,2,sunny
11/21/15,2011.9,341,5.9,70,1,sunny
11/22/15,2328.41,203,11.47,71,0,sunny
11/23/15,1534.76,244,6.29,67,4,sunny
11/24/15,679.38,201,3.38,62,6,cloudy
11/25/15,1137.92,224,5.08,62,6,cloudy
11/26/15,838.25,175,4.79,61,6,cloudy
11/27/15,558,186,3,58,5,sunny
11/28/15,1633.8,210,7.78,59,3,sunny
11/29/15,1079.96,196,5.51,59,3,sunny
11/30/15,24.4,5,4.88,57,3,sunny
12/1/15,1167.65,193,6.05,58,1,sunny
12/2/15,1358.5,247,5.5,63,1,sunny
12/3/15,1526.58,297,5.14,65,3,sunny
12/4/15,808.52,164,4.93,60,4,sunny
12/5/15,861,287,3,62,2,sunny
12/6/15,561,187,3,64,5,sunny
12/7/15,3504.55,323,10.85,65,4,sunny
12/8/15,690,230,3,65,3,sunny
12/9/15,1763.79,259,6.81,63,5,sunny
12/10/15,1969.28,362,5.44,62,6,cloudy
12/11/15,717.4,211,3.4,63,6,cloudy
12/12/15,991.23,141,7.03,57,1,sunny
12/13/15,708,236,3,58,4,sunny
12/14/15,1512.56,259,5.84,59,5,sunny
12/15/15,2246.92,298,7.54,54,0,sunny
12/16/15,783.25,241,3.25,53,1,sunny
12/17/15,610.46,131,4.66,55,0,sunny
12/18/15,1818.96,212,8.58,58,1,sunny
12/19/15,811.3,190,4.27,57,6,cloudy
12/20/15,837.76,187,4.48,60,6,cloudy
12/21/15,404.04,84,4.81,57,6,cloudy
12/22/15,355.54,58,6.13,60,8,cloudy
12/23/15,1251.95,245,5.11,63,7,cloudy
12/24/15,784.8,218,3.6,61,6,cloudy
12/25/15,1645.6,242,6.8,58,3,sunny
12/26/15,267,89,3,55,0,sunny
12/27/15,429,143,3,51,3,sunny
12/28/15,192,64,3,53,6,cloudy
12/29/15,798.79,151,5.29,52,0,sunny
12/30/15,1073.88,157,6.84,53,1,sunny
12/31/15,331.2,80,4.14,55,2,sunny
